Gene ID	Gene Name	g1.WithInSampleAbundance	g7.WithInSampleAbundance	g6.WithInSampleAbundance	g10.WithInSampleAbundance	g5.WithInSampleAbundance	g3.WithInSampleAbundance	g8.WithInSampleAbundance	g9.WithInSampleAbundance	g2.WithInSampleAbundance	g4.WithInSampleAbundance
MTMR10		83	0	0	0	0	2370	514	626	0	0
MTMR12		800	784	956	963	707	947	1076	351	1310	317
MTMR14		941	356	815	0	529	782	1269	790	0	884
MTMR2		245	0	343	542	654	0	132	306	740	662
MTMR4		0	0	0	0	0	0	849	215	0	0
MTMR6		749	770	711	0	851	1024	668	336	1564	778
MTMR9		353	0	429	0	218	187	914	407	0	1163
MTOR		341	85	586	198	583	288	385	971	147	571
MTPAP		679	0	0	0	0	0	1784	927	0	1121
MTPN		92143	72777	82745	46849	60584	76548	49227	41200	77211	51822
MTR		453	631	661	578	649	333	397	412	727	664
MTREX		2370	2195	1942	811	1083	1174	1693	2569	1322	2119
MTRR		51	0	136	0	208	0	0	36	0	50
MTUS1		0	0	0	0	0	0	0	0	0	0
MTX1		4637	4381	4033	4836	3507	4087	7345	4689	2269	4752
MTX2		6722	13637	8845	6847	9804	131843	9703	11731	8588	35275
MTX3		2423	2256	2056	350	955	164	0	4353	1750	2523
MUC1		2151	21013	42266	1809	12861	144805	28061	5558	8706	18816
MUC16		211	0	58	62	34	106	216	198	99	338
MUC2		0	0	0	0	0	80261	0	123	0	0
MUC5B		16	0	536	164	98	17895	122	216	0	873
MUC6		0	0	794	0	520	2998	0	335	422	0
MUL1		341	0	0	0	0	0	923	175	0	0
MVB12A		4947	6696	8215	3572	3693	4149	8528	4821	5922	3992
MVD		8712	4289	4114	5735	4735	12664	4315	13579	6290	3638
MVK		577	4696	4943	1890	3941	3411	5405	5710	1990	2306
MVP		38027	40959	34407	11929	30952	22926	52404	42113	25389	22550
MX1		31752	7649	9571	10784	1405	3741	11990	10652	5450	58470
MX2		7109	2596	3009	1450	2171	3779	2427	2335	2308	10272
MXRA5		1640	3303	4369	1725	2513	4024	2549	1023	3083	7911
MXRA7		0	0	1867	0	6427	0	0	581	0	4033
MXRA8		3159	3140	4476	4700	6054	2325	3981	2274	4179	5230
MYADM		5899	7866	14956	23804	16491	10371	21798	23807	17026	13083
MYBBP1A		2386	1391	1689	1167	1891	1852	2268	1335	1927	1325
MYBPC1		434	52	0	0	0	162	0	142	0	0
MYCBP		10246	16415	28002	10676	16216	15061	28905	39124	1208	22765
MYCBP2		178	21	77	0	81	132	91	45	0	18
MYD88		3877	2314	3409	2731	3919	3424	2329	4563	2017	6582
MYDGF		54239	40759	41974	30408	36184	66856	53596	42860	45755	33501
MYEF2		869	2844	4966	91	1994	3319	1862	3029	2812	2323
MYG1		13565	27376	27167	17279	21840	19336	39839	37774	21878	36051
MYH10		604	160	1322	1716	687	1096	941	994	907	2628
MYH11		104	401	1792	1020	3096	2083	141	1499	3684	330
MYH14		1842	218	1924	3874	1727	1438	3687	3344	938	1540
MYH9		29382	6928	26823	29959	18036	41464	27358	28730	14696	42803
MYL6		731250	729313	734947	489458	688973	668919	492583	536887	757540	685800
MYL6B		0	0	199	0	0	0	924	630	0	863
MYL9		59519	223656	96021	97703	220432	105071	89436	218931	161022	695239
MYLK		3018	3850	6447	3424	5189	3830	699	2827	6578	2659
MYO18A		710	221	451	770	445	863	163	727	172	1050
MYO19		480	746	512	0	0	0	500	596	388	715
MYO1B		1916	2002	1914	1214	1914	3727	4092	2400	2959	2953
MYO1C		7913	12949	12955	35816	13604	13405	9045	9752	11306	5096
MYO1D		3220	6748	7592	4020	5700	6124	3511	6760	6218	9687
MYO1E		1408	1135	1103	556	1522	1001	740	1786	525	2918
MYO1F		1952	690	1138	624	1535	1739	1025	693	820	1284
MYO1G		3381	1276	1030	525	2698	2827	1698	1342	1698	959
MYO3B		656	787	958	102	1063	1893	2282	1240	1069	1084
MYO5A		299	0	174	0	289	349	320	582	0	378
MYO5B		712	46	606	671	288	789	1446	2621	536	31
MYO5C		0	0	246	53	72	255	491	830	145	0
MYO6		1172	1737	3613	971	3304	2107	5084	4988	829	3392
MYO9B		476	312	362	284	422	526	406	466	346	585
MYOF		4681	5213	4422	4697	5642	11592	5598	7872	5137	2926
MYORG		0	0	0	0	0	0	0	0	0	1699
MZB1		167617	32564	59004	38434	117682	269657	16149	40175	43734	23352
MZT2B		1011	2013	1684	1063	1306	903	2165	4540	1692	1584
N4BP1		0	0	0	0	0	0	0	127	0	0
N6AMT1		285	960	2373	112	735	0	2973	3076	0	0
NAA10		1823	978	4064	0	3841	3557	4081	4554	2394	4401
NAA15		2745	1594	2072	1038	1051	1476	2169	2992	1939	2930
NAA20		3372	1500	2989	1193	1705	3419	2969	3148	2122	0
NAA25		853	538	580	562	406	592	669	935	669	870
NAA30		1224	244	1051	376	1010	1154	1318	1123	1185	684
NAA35		408	342	221	0	0	0	445	475	0	292
NAA50		6230	7414	6036	4779	5717	5159	6053	8766	5110	50949
NAAA		2142	3246	4565	2801	7158	3705	5592	2712	680	12793
NAALADL2		0	350	899	0	969	752	2648	453	929	430
NAB2		0	0	0	0	0	0	0	148	0	0
NABP2		0	0	4616	0	2211	0	1528	3390	0	583
NACA		8063	7619	6410	5323	5879	8092	6115	6783	8285	5933
NACC1		1956	1724	1886	337	1165	2276	2816	2453	2426	1967
NADK		1867	0	0	0	4630	3660	0	2534	0	0
NADK2		3691	4525	3675	3105	2519	3317	2145	4573	3312	6644
NADSYN1		1613	438	1482	266	1141	1658	1286	927	1218	1076
NAE1		8469	6079	7599	3214	6287	7736	7559	8628	7721	3887
NAGA		20459	34125	21662	21472	21922	29385	24438	32194	32941	31426
NAGK		69826	44956	47557	54085	64017	57904	51047	69105	61682	72823
NAGLU		816	2265	2079	1596	1761	1752	2591	1781	2597	4956
NAIP		1115	0	356	181	0	570	267	0	0	411
NAMPT		25681	23475	28503	15253	19334	33998	23965	22706	19713	34432
NANS		21827	46262	35300	19643	26766	35682	42159	28240	25182	19984
NAP1L1		21357	21157	18089	13589	17832	21335	18870	21808	23102	13833
NAP1L4		43912	34194	48086	17021	50682	41737	47209	36167	32227	27529
NAPA		35192	24851	29230	15613	42900	33381	36725	29354	34282	16380
NAPB		200	0	201	0	0	0	589	845	708	0
NAPG		2712	4210	4372	2788	2976	4697	7585	28349	8714	6029
NAPRT		16305	15598	17825	28809	8209	18235	19524	13299	57657	4782
NARS1		30844	21565	22397	10253	19828	23612	16214	28985	26320	19409
NARS2		2412	2780	2675	1665	2200	4768	4570	2806	1417	3342
NASP		32440	7271	8335	2505	6460	8206	14463	8538	14777	5030
NAT1		1509	87745	61672	0	37598	5454	5678	15810	19745	10166
NAT10		1637	1514	1606	1059	653	750	5464	1839	330	2755
NAT14		2648	6230	4602	0	4634	1388	6723	12768	1139	6782
NAV1		1555	1018	306	148	1836	2349	320	142	289	162
NAV3		0	0	0	0	0	0	0	0	0	0
NAXD		8396	13146	9866	9682	17857	13575	28735	8241	17282	4716
NAXE		26905	49683	70731	30194	30351	34142	72467	49025	31743	39107
NBAS		751	267	442	136	1822	839	373	380	298	301
NBEAL2		109	0	53	0	138	247	321	211	0	92
NBN		1758	2290	2045	616	1274	1431	1693	2086	1607	1411
NBR1		0	0	0	0	0	0	1566	0	0	0
NCALD		1278	1604	2605	3366	4294	2359	0	2285	4820	3865
NCAM2		0	0	0	0	221	0	1217	639	0	0
NCAPD2		870	0	68	0	0	0	200	775	1330	477
NCAPG		171	0	0	0	0	28	32	19	0	126
NCAPH		768	0	0	0	0	114	0	51	0	0
NCBP1		1766	2476	1760	997	2233	2196	1109	1915	5073	2882
NCBP2		18443	11617	10340	7408	12283	12298	9488	9409	16418	5281
NCCRP1		7139	0	0	17406	867	6801	0	910	0	1248
NCDN		1014	1005	1595	310	1522	913	998	1499	888	1353
NCEH1		19904	4436	6146	3932	6041	9385	10308	3783	6280	5651
NCF2		6253	670	1183	1906	2585	2248	1038	1642	1901	2969
NCF4		4902	2132	2748	2904	3167	3077	2540	4777	3645	5937
NCK1		11182	7433	7920	6556	9423	8141	3886	6041	21950	5480
NCK2		4197	3081	4076	1981	4371	4160	4837	2406	6166	2814
NCKAP1		1268	2796	2570	1806	2733	2213	2631	2427	2544	1875
NCKAP1L		1459	115	534	484	774	1432	561	576	476	849
NCKIPSD		377	758	658	753	661	401	416	979	144	1106
NCL		70608	16577	21663	40477	5408	47298	24585	29132	13884	44373
NCLN		10043	8201	11950	7040	8066	10304	9360	14724	9701	13704
NCOA5		3588	3463	2912	393	2577	2103	3018	2683	7601	3841
NCOA6		0	0	0	0	0	0	0	26	0	271
NCOR1		321	0	401	0	122	267	191	285	0	36
NCOR2		156	138	251	0	197	195	254	210	98	287
NCSTN		10586	12714	15261	10001	8911	11897	36282	15560	13710	13058
NDC1		0	0	0	0	494	0	354	366	0	354
NDE1		584	945	918	69	402	185	1004	2687	0	1193
NDOR1		0	0	568	0	281	531	884	385	0	0
NDP		0	0	0	0	1926	0	9098	0	0	0
NDRG1		30988	17846	31958	23490	34629	16367	40919	28884	22704	59284
NDRG2		12125	14393	10619	25961	22434	4141	1803	4795	17917	7215
NDRG3		6268	7038	8272	2413	6689	4813	9368	7030	5188	9657
NDST1		170	0	521	0	308	636	641	479	490	0
NDUFA10		8812	9730	9368	7308	11725	10372	11383	9964	8449	5690
NDUFA11		3189	7336	7993	7919	9640	4014	7874	7361	0	10350
NDUFA12		12137	18742	13959	14759	23644	12378	14497	42457	10902	29842
NDUFA13		26794	25542	31899	32322	37421	26757	32687	24863	38183	13026
NDUFA2		17391	25960	36048	30695	29606	20056	37350	37574	18480	23398
NDUFA3		0	0	3448	0	0	0	4776	9766	13253	15616
NDUFA4		136532	78593	95256	132375	90465	75592	69019	77283	59449	56472
NDUFA5		17726	22068	23963	13694	24718	20036	26823	21966	7141	14934
NDUFA6		6277	5314	7498	7267	4028	6453	12250	12488	3160	12097
NDUFA7		0	2740	5708	1370	0	0	9769	7249	6800	6856
NDUFA8		4178	8999	6199	9306	9288	6400	9509	11430	9629	15598
NDUFA9		7376	5785	6689	8728	9804	5678	12185	14968	5042	11951
NDUFAF2		3225	2973	3417	3851	4626	2657	7832	3632	1352	4165
NDUFAF3		11934	7829	10732	10569	10176	6558	14319	11936	8255	9144
NDUFAF4		888	0	1305	0	3033	71	3039	2789	0	4235
NDUFAF5		867	791	772	1504	1139	1095	2377	1277	0	2211
NDUFAF7		1174	262	210	1407	669	562	2207	1762	1245	632
NDUFB1		19834	38620	36869	42463	39019	28238	43208	54531	34881	46776
NDUFB10		24004	22623	27444	17087	25547	22594	34577	26081	30182	13563
NDUFB11		29808	15301	22923	18254	13123	13501	12785	24352	12748	17017
NDUFB3		7918	4290	14913	11903	19305	15016	21789	12571	11062	4167
NDUFB4		13104	23051	18549	16683	17289	13401	18585	20763	17724	16541
NDUFB5		11211	942	3414	1901	1988	1734	18888	9793	13736	870
NDUFB6		9204	3250	12932	7524	9923	5775	9940	5579	7127	0
NDUFB7		4572	6784	6569	6724	7865	7255	8953	7286	6443	6682
NDUFB8		5583	5358	6369	4897	7261	5894	5485	6725	9208	4413
NDUFB9		9891	17347	15459	14549	18955	14580	25429	18060	17050	18089
NDUFC2		53078	49535	68191	31192	47183	60657	50060	36112	39279	16589
NDUFS1		15070	19218	18639	17552	17293	19028	24704	26317	18894	16634
NDUFS2		6496	5431	4558	8393	8621	18768	11563	8716	6389	7141
NDUFS3		28673	27691	27876	33716	28223	23181	39819	31803	37662	25749
NDUFS4		1128	4088	1757	2179	11081	6790	4915	1854	0	2240
NDUFS5		25998	29781	41226	34860	34267	28012	52148	29405	26886	20383
NDUFS6		4472	7158	8982	4041	14325	4433	9832	9831	3957	11039
NDUFS7		6790	6066	6403	7586	12065	6124	10371	7695	6938	6475
NDUFS8		11185	11673	9582	15024	11650	9413	12743	15152	10608	8959
NDUFV1		14812	16209	14003	20518	19376	14961	19101	17699	16646	12511
NDUFV2		22537	34077	29793	37677	28244	25282	41049	38076	30515	39069
NEBL		0	0	0	0	244	0	0	1427	0	5318
NECAP1		7164	3776	8745	0	6377	8596	17066	12210	6525	9997
NECAP2		22418	14792	13769	5175	14459	15341	14158	13898	9399	26453
NECTIN2		9759	8710	11639	12821	7467	9102	14509	15750	9401	10120
NECTIN4		5307	1802	3126	6630	828	3150	4809	1525	0	2757
NEDD1		632	533	385	0	634	421	526	245	303	597
NEDD4		0	0	147	0	135	273	320	362	0	346
NEDD4L		535	390	1393	485	965	1697	1606	1458	837	194
NEDD8		26076	25196	22709	15541	53702	7457	13553	14264	4609	2009
NEFL		0	0	0	0	0	0	0	0	0	0
NEIL2		0	0	780	0	904	0	1380	987	0	0
NEK7		8459	14489	11171	11604	7137	8158	9053	7534	8134	10330
NEK9		3074	1851	2419	2634	2837	2794	3667	1996	2717	3003
NELFA		3975	5399	4706	1653	6198	4672	6567	4025	5049	4317
NELFB		1038	1537	1674	692	900	1365	1390	1598	1860	1247
NELFCD		2401	4468	1959	0	3904	1093	4932	3925	7618	2545
NELFE		1180	405	1027	350	1243	1064	3515	850	820	656
NEMF		1303	537	827	828	311	704	826	869	350	1161
NENF		5403	8294	12217	5726	7893	7481	9912	9464	7117	10078
NES		951	2181	2665	2389	2517	1420	1068	878	2332	1115
NEU1		3463	4940	5023	2860	3839	4069	7666	7311	3563	6711
NEXN		357	0	870	914	954	670	0	219	314	2393
NF1		143	147	381	28	0	1540	0	127	237	153
NFASC		153	0	0	0	0	0	0	0	0	0
NFATC2		1143	306	199	481	792	743	394	641	725	392
NFATC2IP		211	0	131	0	362	0	0	365	0	0
NFIB		2269	592	1880	1924	2344	0	0	881	5603	774
NFIC		791	2639	300	0	221	376	0	308	2338	5380
NFIX		0	726	0	0	432	0	420	803	0	986
NFKB1		4034	5431	3932	4481	3579	4302	2985	3236	7427	2932
NFKB2		4826	4140	1768	534	2078	2959	2611	2991	2658	1764
NFKBIA		211	3649	7967	0	9218	3253	503	2744	10803	16696
NFKBIB		1400	824	3826	0	2549	1582	7965	4741	0	3410
NFKBIE		2215	416	939	0	1182	1367	905	288	1366	163
NFS1		2277	1316	2727	2443	1877	1512	5273	4224	0	3733
NFU1		2835	3282	5560	6578	5341	5045	15475	16191	3330	7836
NFYB		0	0	636	0	4186	0	1957	1706	4507	2429
NFYC		15653	14186	14632	6825	12717	11564	10192	9274	18463	11717
NGDN		615	0	295	0	0	0	775	370	0	1490
NGLY1		708	407	608	453	563	716	206	473	157	405
NHEJ1		2519	706	0	995	2015	1426	0	2011	0	1593
NHERF1		23846	35617	30733	19205	35280	27020	119319	35261	28410	20612
NHERF2		3818	6285	7834	6593	4594	9788	3270	16454	3040	11513
NHLRC2		5776	14929	8710	4403	8935	9621	10347	6234	2656	7601
NHLRC3		1542	3590	2597	771	3174	3475	9544	3826	3560	3135
NHP2		13590	24767	18961	9671	15919	10171	15380	25004	20230	36779
NHSL2		0	135	630	0	0	58	315	74	348	526
NIBAN1		5756	8600	8390	3854	6072	9312	23037	6016	9069	1538
NIBAN2		9763	19562	34394	4064	14111	14940	18846	9472	55633	11073
NID1		7172	17338	12079	19111	25317	8193	6121	5031	16519	9509
NID2		12253	20524	13842	20985	17331	12271	7816	7673	20105	12192
NIF3L1		13359	10106	11604	9837	11863	10627	12507	13429	20893	4096
NIFK		860	225	566	390	847	649	645	731	1091	786
NINJ1		0	0	101	0	0	0	628	3626	0	0
NIP7		1868	510	324	0	875	824	1058	2192	0	3236
NIPBL		121	0	0	0	0	28	0	49	0	37
NIPSNAP1		10117	15267	11999	5155	27581	27723	57201	26345	6415	21464
NIPSNAP2		36696	50437	53110	32823	32925	31236	82507	55373	52588	35630
NIPSNAP3A		9601	17414	9855	14905	8426	10861	15404	9480	11309	10166
NIPSNAP3B		0	0	0	0	0	0	0	0	0	0
NISCH		728	455	712	55	794	621	721	1042	1153	782
NIT1		20535	24394	30318	23124	19272	20845	39993	26030	20484	19040
NIT2		30457	45234	46195	24883	47312	32237	44642	43572	30779	28239
NKIRAS2		1460	1126	1171	3265	1139	653	6830	2953	0	10649
NLE1		1528	0	0	816	6940	0	253	4371	0	1071
NLN		1755	1885	1719	744	990	904	2484	3833	2256	3295
NLRC5		0	0	0	0	0	0	142	0	0	0
NLRP2		971	37	487	0	0	163	0	681	0	1041
NLRX1		601	772	939	848	683	677	871	553	745	678
NMD3		2721	246	1213	0	2357	2195	2946	1340	0	606
NME1		57260	98981	49878	53276	45482	63719	85950	112084	63338	202373
NME2		182276	179677	215974	151199	150042	156268	254498	196906	176436	226947
NME3		36950	74918	53036	19772	34923	55214	82592	127648	50035	59741
NME4		0	2031	0	0	2035	300	16409	29261	5775	27872
NME6		0	0	0	0	0	0	2175	0	0	489
NME7		1876	615	0	0	0	0	0	1341	1888	2362
NMES1		21114	3871	23183	15050	9757	22646	69630	47411	3845	5942
NMI		14051	3763	6907	255	6048	5428	5414	1926	10001	3440
NMNAT1		1847	1645	3296	0	2016	1061	1327	3171	2786	3416
NMNAT3		989	1227	1752	1518	2033	317	1269	6020	1353	2823
NMRAL1		3845	4423	2643	1153	1652	4534	6116	5521	3915	0
NMRK1		1323	0	1019	539	1972	1550	3604	2269	0	0
NMT1		9393	5398	5491	3029	4819	4243	4716	5664	5730	5666
NMT2		1201	141	413	232	1607	1254	592	480	0	712
NNMT		111342	146981	152605	111646	95808	153657	102063	80074	175913	337292
NNT		10376	8425	7131	12548	10926	9784	14675	11116	8750	9113
NOB1		1756	1841	1781	1572	2181	1389	2707	1959	1939	1249
NOC2L		911	0	223	94	0	529	937	869	0	695
NOC3L		152	0	0	0	0	0	298	79	0	0
NOC4L		1627	512	1058	393	1228	1334	1839	1235	348	629
NOL10		284	0	56	0	34	31	92	38	0	60
NOL11		664	0	149	0	909	379	701	98	0	0
NOL3		8091	20015	17083	14715	11514	21910	45386	30441	2454	14976
NOL6		484	86	500	341	625	410	286	456	387	604
NOL9		729	0	167	0	557	0	386	556	0	696
NOMO2		3192	3720	5040	3932	4616	4232	3207	4944	2769	6149
NONO		40585	40103	39404	16061	36781	31766	37100	47942	40848	52816
NOP10		6501	20648	17167	2138	11490	6881	11838	26112	2516	26798
NOP16		2711	1490	2610	2345	2741	1933	0	1364	2235	3796
NOP2		2003	2650	1818	2779	2723	3507	2907	1296	9379	2182
NOP56		9327	7402	8175	5364	5204	9602	5933	9666	4698	8548
NOP58		6712	3243	3715	5481	3441	5709	4789	6060	2742	5817
NOP9		2524	21	1351	463	974	1032	1325	880	1150	840
NOS1AP		0	0	1106	0	0	1158	0	3627	580	332
NOS3		164	0	133	65	0	24	57	32	280	0
NOSIP		4019	1608	2049	390	2639	1987	3029	2168	0	2376
NOSTRIN		0	1270	855	0	562	0	0	873	0	435
NOTCH2		260	0	347	243	409	386	312	262	269	322
NOTCH3		205	0	215	156	207	267	0	51	79	270
NOVA1		0	0	0	0	559	0	0	0	3004	0
NPC1		1622	310	723	991	632	687	821	975	972	1472
NPC2		59846	39487	47312	28079	55838	64961	153151	43741	57562	40434
NPEPL1		2429	4000	2976	2986	2839	4191	5350	18239	3853	2403
NPEPPS		11217	17728	17174	8879	17417	10016	13408	20343	19067	39265
NPL		1892	1117	631	0	1329	1354	863	1256	0	1947
NPLOC4		5510	5735	6129	6814	4879	5393	4121	4474	7231	5739
NPM1		30461	51891	35343	26593	44561	27228	35241	63445	26316	117313
NPM3		10999	4560	6221	3214	7304	7659	5447	8755	0	7134
NPNT		0	415	938	0	2584	220	605	360	698	867
NPR1		0	0	0	161	0	0	0	0	0	0
NPR3		0	0	583	1961	0	0	0	0	0	0
NPRL3		0	0	0	0	0	64	404	554	0	226
NPTN		5568	6327	5589	8830	7558	7538	2849	7023	3818	5282
NPY1R		0	0	0	0	0	0	0	3850	0	0
NQO1		4603	28953	13747	10306	15468	21182	12458	16945	5992	35107
NQO2		27499	18411	25411	17667	5989	7432	12855	14143	26618	21459
NR2C2		1332	0	612	0	0	281	0	101	0	0
NR2C2AP		12593	12791	12726	7772	15261	15140	25421	18458	12413	17572
NR2F2		997	0	718	0	0	1376	523	3639	2199	0
NR2F6		0	0	3382	0	0	242	2215	3514	7421	1867
NR3C1		918	807	852	0	1548	1301	535	791	1303	614
NR4A1		16547	4909	30250	6934	6842	27212	36827	12596	59051	0
NRAS		2285	2804	2707	3567	2732	3056	3423	2736	2337	2608
NRBP1		7306	4465	4411	1772	4827	5601	6872	3702	4647	4997
NRBP2		0	358	1445	681	778	114	757	2325	0	366
NRCAM		0	0	0	0	0	158	0	229	0	0
NRDC		1952	1624	1429	1200	1014	1647	1498	2650	1535	2391
NRF1		6387	3987	5619	3184	7775	4840	4590	3283	6511	3190
NRIP2		0	547	0	0	569	188	0	0	0	134
NRM		11117	9462	10701	10037	7758	6639	6923	10807	22718	10313
NRP1		1092	1530	1680	7105	1831	1225	780	582	2662	2134
NRP2		104	0	478	0	0	210	252	509	0	1560
NSA2		1622	230	846	0	556	726	921	1352	761	1684
NSD3		0	0	0	0	0	0	1638	874	0	0
NSDHL		10359	7480	7888	7549	7382	10790	11119	10123	10974	6019
NSF		11597	12752	14568	7606	9971	11591	19137	17528	12483	11582
NSFL1C		28435	22321	34048	34815	17440	18522	40401	15694	19486	76668
NSL1		2282	0	1354	0	1858	2807	689	786	1732	0
NSMCE4A		1261	0	0	0	204	108	0	183	0	0
NSUN2		12491	3433	5418	2383	3014	4392	3437	3825	4477	5195
NSUN4		1324	543	1141	0	1309	1713	1976	1632	2139	2451
NSUN5		1330	0	748	661	890	1290	557	1138	0	899
NT5C		4134	6717	5965	5310	8931	2692	13434	8940	0	3824
NT5C2		3854	3774	3666	1408	1947	2340	6843	6287	995	4932
NT5C3A		1789	523	93	0	788	520	684	5651	0	5073
NT5C3B		466	1460	1568	0	985	880	813	1941	1934	1321
NT5DC1		4160	4914	3338	1165	2236	4582	2806	3592	3233	2290
NT5DC2		306	348	1133	1235	924	2836	116	720	650	1723
NT5DC3		1280	2964	172	1743	940	1557	1273	4816	0	471
NT5E		6227	4546	5304	3654	13739	7022	580	2932	15179	9100
NTAN1		0	0	1618	2097	2616	1464	2284	2015	1242	5906
NTMT1		6219	4982	6167	3269	4979	8081	8509	7727	6842	4620
NTPCR		8101	12954	12051	3870	9062	7608	10332	8746	8692	1623
NTS		0	0	0	0	0	0	0	0	0	0
NUB1		1514	964	1162	721	1073	1225	1534	1716	741	1107
NUBP1		5172	14508	10324	5268	3734	7908	11214	17131	9076	15808
NUBP2		6997	10063	18432	3818	16294	12725	19240	27470	3484	20920
NUBPL		2076	1431	7740	725	2853	2039	6147	6851	0	1956
NUCB1		32999	7574	21015	7928	18746	18881	7061	13822	28042	12071
NUCB2		26	337	3414	0	1069	1404	2100	5592	0	19314
NUDC		11736	8026	11841	5828	7117	9589	12390	10943	3708	12206
NUDCD1		13204	3351	5712	9242	6218	4100	4982	5582	1610	10164
NUDCD2		20353	21662	20264	0	16777	16829	18589	18276	13797	11677
NUDCD3		1497	580	1175	0	1052	1096	1539	2605	0	1189
NUDT1		4661	0	0	0	2621	2771	2571	2423	2806	2888
NUDT12		0	0	576	0	413	0	412	1572	0	0
NUDT14		5387	6535	5674	4711	5182	6313	8331	3570	5426	1626
NUDT16		15380	21517	23758	11186	15505	12832	19605	23587	14041	13460
NUDT16L1		6121	9847	10963	0	8373	9080	20626	12186	10416	8435
NUDT18		3659	3006	3924	0	3788	3617	2320	3430	0	3015
NUDT19		4689	6726	6192	4861	3721	11087	5896	6212	8560	4011
NUDT2		9411	17645	16362	10212	15771	14377	12108	24847	11481	7125
NUDT21		43066	39028	39824	18007	32831	33076	34671	49398	45537	42760
NUDT3		18942	18353	16697	14479	21300	15226	16381	13989	23252	11270
NUDT4		0	3676	4483	0	0	3819	4955	7280	0	4477
NUDT5		34747	29497	27551	22526	24791	24949	33702	47720	28020	76196
NUDT8		913	0	0	0	567	4989	3192	0	0	0
NUDT9		533	3271	496	0	0	251	0	4035	0	6568
NUFIP2		1331	757	1358	0	518	782	867	1285	880	1660
NUMA1		1544	966	2513	1329	2033	1671	1818	2947	1435	2989
NUMB		2303	2539	4357	1275	4047	2941	4689	3449	4606	3832
NUP107		2826	1711	1901	1410	2292	2018	1679	1959	2716	1586
NUP133		3180	2683	3052	1416	3587	1630	2895	4360	3178	3436
NUP153		2210	967	1274	801	1543	1240	1477	1051	1349	1149
NUP155		1740	1450	1674	987	1451	3566	1168	1422	1888	1604
NUP160		1870	1162	1679	1416	1605	1992	1555	1471	2237	1357
NUP188		883	0	777	41	630	831	1004	622	1769	859
NUP205		1047	1004	1015	514	1071	983	1028	4248	1091	1426
NUP210		2673	1563	2692	882	1719	2150	2311	2676	722	2756
NUP214		1523	1462	1594	714	926	1498	1411	1798	1643	2168
NUP35		6174	13179	12529	1232	4521	3871	10346	6441	11434	3841
NUP37		13304	24104	12818	17069	28271	32057	7609	7922	8007	6265
NUP42		235	0	47	0	0	205	527	270	0	83
NUP43		8416	6129	8614	5108	7269	6531	7848	7283	10675	10439
NUP50		9546	5749	4743	0	7598	6243	8721	4595	3115	6469
NUP54		3887	2458	2863	2574	3495	3634	2389	2960	4664	1670
NUP58		814	141	937	0	1008	764	1092	981	0	168
NUP62		7355	3882	4612	1917	2231	2550	2087	3481	4371	11931
NUP85		2626	1454	1829	958	1129	1794	1285	1242	2074	1873
NUP88		3439	3041	3142	2169	1851	2440	1946	3476	2852	3908
NUP93		6937	11527	6573	4185	5432	3946	5725	6330	12925	11941
NUP98		1755	1103	1279	731	1594	1301	1278	1183	1565	1559
NUTF2		239378	246769	354441	155012	244184	247351	326919	261880	204903	222693
NVL		594	177	509	137	0	334	0	614	686	0
NXF1		3526	2170	2890	696	2573	2134	2219	2303	2877	2717
NXN		1791	4721	5629	2730	5002	2056	2322	3007	6139	8047
OARD1		7812	8673	7089	1489	14601	9759	6562	5756	8374	0
OAS1		3009	0	152	131	882	0	70	4355	0	254
OAS2		6851	3888	4577	1620	1312	1880	4446	6647	2181	13330
OAS3		9416	6588	4573	1819	2574	3644	2995	9577	3680	15833
OASL		2981	0	287	0	223	0	431	847	0	2935
OAT		24962	35737	18033	14067	12970	29517	27125	26519	59514	47259
OCIAD1		16980	8926	12741	6458	6650	10158	19871	21602	17331	10645
OCIAD2		6126	11378	7574	3082	7373	9253	17914	19564	0	26547
OCLN		226	319	0	359	0	0	541	814	0	1113
OCRL		1168	1305	1817	165	1822	1059	1323	1896	1350	3038
ODR4		1818	3289	4030	3786	3512	3749	4528	4211	3698	4753
OGA		3249	2459	4288	1082	1156	2166	6142	4230	1567	2831
OGDH		14413	8903	10190	8815	11542	14056	19370	11447	6139	7353
OGDHL		0	0	0	0	0	5514	8289	0	0	0
OGFOD1		178	0	0	0	0	72	216	228	0	0
OGFOD2		0	0	0	0	0	0	65	146	0	0
OGFOD3		0	0	0	1656	0	0	0	3126	0	0
OGFR		3628	2042	2173	1180	1954	3361	2464	4593	1815	3687
OGN		161202	3480870	1309530	912746	2584122	1320922	860278	147973	6846622	212231
OGT		2551	899	2171	783	926	1452	2135	1605	2304	1095
OLA1		11593	18033	18738	10754	9317	11096	19337	21073	18616	20828
OLFM3		0	0	0	0	0	0	45991	0	0	35
OLFM4		574	921	2782	6674	6108	0	0	0	0	0
OLFML1		18709	30274	29459	57128	82469	41003	19615	6648	110435	13590
OLFML3		13648	59274	43539	66369	54417	31949	33251	8504	107811	55874
OMD		2080	19804	20473	5735	14456	7440	10100	4045	7668	24815
OPA1		2256	1178	1813	2184	1828	1410	2593	1998	1602	1332
OPA3		5193	7380	6959	1149	8662	7579	9950	8707	1756	8439
OPLAH		2358	3541	4238	5142	2560	1398	2185	8359	2881	2403
OPTN		1349	142	800	391	1120	1042	889	529	817	942
ORC3		103	0	95	0	187	97	0	87	0	391
